datetime,Close,Open,High,Low,Volume,Change
2022/8/17,5.32,5.38,5.42,5.27,160.47M,-1.66%
2022/8/16,5.41,5.51,5.52,5.38,173.49M,-2.17%
2022/8/15,5.53,5.44,5.57,5.4,229.69M,1.28%
2022/8/12,5.46,5.4,5.5,5.37,143.50M,0.92%
2022/8/11,5.41,5.39,5.42,5.3,145.10M,0.74%
2022/8/10,5.37,5.4,5.5,5.33,146.35M,0.19%
2022/8/9,5.36,5.34,5.38,5.3,92.15M,0.19%
2022/8/8,5.35,5.29,5.44,5.26,144.10M,1.52%
2022/8/5,5.27,5.21,5.28,5.18,93.71M,1.35%
2022/8/4,5.2,5.21,5.25,5.13,86.66M,0.58%
2022/8/3,5.17,5.21,5.3,5.15,116.85M,-0.96%
2022/8/2,5.22,5.36,5.36,5.15,186.26M,-4.04%
2022/8/1,5.44,5.34,5.45,5.18,154.19M,0.93%
2022/7/29,5.39,5.46,5.48,5.38,145.64M,-1.64%
2022/7/28,5.48,5.56,5.56,5.46,140.73M,-0.72%
2022/7/27,5.52,5.45,5.55,5.41,132.43M,0.91%
2022/7/26,5.47,5.39,5.52,5.34,159.41M,1.67%
2022/7/25,5.38,5.52,5.54,5.36,228.09M,-3.24%
2022/7/22,5.56,5.7,5.78,5.51,650.52M,-7.02%
2022/7/21,5.98,5.43,5.98,5.38,642.97M,9.93%
2022/7/20,5.44,5.26,5.44,5.25,197.75M,3.82%
2022/7/19,5.24,5.29,5.31,5.2,118.10M,-1.32%
2022/7/18,5.31,5.18,5.33,5.17,154.96M,3.11%
2022/7/15,5.15,5.15,5.26,5.13,164.65M,0.19%
2022/7/14,5.14,5.2,5.22,5.12,167.71M,-1.72%
2022/7/13,5.23,5.22,5.26,5.12,121.02M,0.00%
2022/7/12,5.23,5.31,5.34,5.22,136.72M,-1.51%
2022/7/11,5.31,5.47,5.49,5.27,220.22M,-3.63%
2022/7/8,5.51,5.42,5.63,5.41,317.97M,2.61%
2022/7/7,5.37,5.24,5.43,5.22,230.74M,1.90%
2022/7/6,5.27,5.53,5.58,5.16,473.87M,-6.23%
2022/7/5,5.62,5.64,5.73,5.51,244.47M,-0.18%
2022/7/4,5.63,5.63,5.72,5.58,241.42M,-1.40%
2022/7/1,5.71,5.8,5.8,5.66,209.05M,-0.35%
2022/6/30,5.73,5.7,5.81,5.62,271.84M,0.17%
2022/6/29,5.72,5.86,5.93,5.71,339.64M,-3.05%
2022/6/28,5.9,6.02,6.05,5.83,381.80M,-1.34%
2022/6/27,5.98,5.66,6.06,5.6,588.69M,4.00%
2022/6/24,5.75,5.87,6.09,5.73,477.98M,-3.85%
2022/6/23,5.98,5.95,6.16,5.59,1.02B,-2.29%
2022/6/22,6.12,5.75,6.27,5.72,1.16B,7.37%
2022/6/21,5.7,5.66,5.73,5.47,368.41M,-1.04%
2022/6/20,5.76,6.12,6.12,5.51,742.21M,-5.73%
2022/6/17,6.11,5.82,6.13,5.73,506.57M,4.98%
2022/6/16,5.82,5.82,5.98,5.72,261.01M,0.00%
2022/6/15,5.82,5.79,5.92,5.62,356.20M,0.52%
2022/6/14,5.79,5.66,5.8,5.59,282.96M,1.22%
2022/6/13,5.72,5.67,5.85,5.63,378.64M,0.70%
2022/6/10,5.68,5.32,5.76,5.32,363.17M,5.38%
2022/6/9,5.39,5.19,5.54,5.19,379.21M,4.26%
2022/6/8,5.17,5.05,5.18,4.96,195.87M,2.58%
2022/6/7,5.04,5.02,5.07,4.98,109.18M,0.00%
2022/6/6,5.04,4.9,5.06,4.86,186.79M,4.13%
2022/6/2,4.84,4.76,4.85,4.74,100.85M,1.26%
2022/6/1,4.78,4.74,4.8,4.72,89.52M,0.21%
2022/5/31,4.77,4.74,4.77,4.7,98.66M,0.63%
2022/5/30,4.74,4.75,4.79,4.72,83.73M,-0.21%
2022/5/27,4.75,4.77,4.83,4.72,124.04M,-0.21%
2022/5/26,4.76,4.72,4.78,4.62,124.14M,1.06%
2022/5/25,4.71,4.61,4.75,4.59,164.95M,3.74%
2022/5/24,4.54,4.73,4.74,4.54,130.62M,-4.42%
2022/5/23,4.75,4.67,4.8,4.65,141.75M,1.28%
2022/5/20,4.69,4.5,4.7,4.5,222.26M,4.92%
2022/5/19,4.47,4.44,4.48,4.39,123.80M,-1.11%
2022/5/18,4.52,4.58,4.58,4.49,87.89M,-1.09%
2022/5/17,4.57,4.46,4.58,4.45,136.49M,2.47%
2022/5/16,4.46,4.48,4.51,4.44,86.91M,0.45%
2022/5/13,4.44,4.46,4.51,4.4,99.05M,-0.22%
2022/5/12,4.45,4.46,4.52,4.39,111.98M,-1.77%
2022/5/11,4.53,4.44,4.65,4.42,162.14M,2.03%
2022/5/10,4.44,4.42,4.49,4.32,169.65M,-1.33%
